identyfikator,tytuł,opis,link,cena,dostępność,link do zdjęcia,gtin,marka,expiration_date
B01,Pokrowiec na sofę Beddinge pikowany w pasy,"Pokrowiec jest starannie wykonany z dbałością o szczegóły. Dzięki temu możesz cieszyć się znakomitym wyglądem. Pokrycie można zdjąć i wyprać w pralce, dzięki czemu łatwo utrzymać je w czystości.",https://dagra.eu/pl/product/cover-beddinge-striped-pattern/,249,w magazynie,https://dagra.eu/de/wp-content/uploads/sites/3/B01_L32-5.jpg,,DAGRA,2069-03-02T21:37+0100
B02,Pokrowiec na sofę Beddinge pikowany w karo,"Pokrowiec jest starannie wykonany z dbałością o szczegóły. Dzięki temu możesz cieszyć się znakomitym wyglądem. Pokrycie można zdjąć i wyprać w pralce, dzięki czemu łatwo utrzymać je w czystości.",https://dagra.eu/pl/product/cover-beddinge-diamonds-pattern/,249,w magazynie,https://dagra.eu/de/wp-content/uploads/sites/3/B02_L32-7.jpg,,DAGRA,2069-03-02T21:37+0100
E01,Pokrowiec na sofę Ektorp 2 osobową,"Pokrowiec jest starannie wykonany z dbałością o szczegóły. Dzięki temu możesz cieszyć się znakomitym wyglądem. Pokrycie można zdjąć i wyprać w pralce, dzięki czemu łatwo utrzymać je w czystości.",https://dagra.eu/pl/product/cover-ektorp-2-new-model-sofa-bed/,549,w magazynie,https://dagra.eu/de/wp-content/uploads/sites/3/E01_A15-2.jpg,,DAGRA,2069-03-02T21:37+0100
E04,Pokrowiec na fotel Ektorp,"Pokrowiec jest starannie wykonany z dbałością o szczegóły. Dzięki temu możesz cieszyć się znakomitym wyglądem. Pokrycie można zdjąć i wyprać w pralce, dzięki czemu łatwo utrzymać je w czystości.",https://dagra.eu/pl/product/cover-ektorp-armchair/,349,w magazynie,https://dagra.eu/de/wp-content/uploads/sites/3/E04_A15-2.jpg,,DAGRA,2069-03-02T21:37+0100
E05,Pokrowiec na fotel Ektorp jennylund,"Pokrowiec jest starannie wykonany z dbałością o szczegóły. Dzięki temu możesz cieszyć się znakomitym wyglądem. Pokrycie można zdjąć i wyprać w pralce, dzięki czemu łatwo utrzymać je w czystości.",https://dagra.eu/pl/product/cover-ektorp-jennylund-armchair/,299,w magazynie,https://dagra.eu/de/wp-content/uploads/sites/3/E05_A15-2.jpg,,DAGRA,2069-03-02T21:37+0100
E06,Pokrowiec na narożnik Ektorp 4 osobowy,"Pokrowiec jest starannie wykonany z dbałością o szczegóły. Dzięki temu możesz cieszyć się znakomitym wyglądem. Pokrycie można zdjąć i wyprać w pralce, dzięki czemu łatwo utrzymać je w czystości.",https://dagra.eu/pl/product/cover-ektorp-corner-sofa/,999,w magazynie,https://dagra.eu/de/wp-content/uploads/sites/3/E06_A15-1.jpg,,DAGRA,2069-03-02T21:37+0100
E09,Pokrowiec na podnóżek Ektorp,"Pokrowiec jest starannie wykonany z dbałością o szczegóły. Dzięki temu możesz cieszyć się znakomitym wyglądem. Pokrycie można zdjąć i wyprać w pralce, dzięki czemu łatwo utrzymać je w czystości.",https://dagra.eu/pl/product/cover-ektorp-footstool/,249,w magazynie,https://dagra.eu/de/wp-content/uploads/sites/3/E09_A15-1.jpg,,DAGRA,2069-03-02T21:37+0100
E10,Pokrowiec na sofę Ektorp 3 osobową,"Pokrowiec jest starannie wykonany z dbałością o szczegóły. Dzięki temu możesz cieszyć się znakomitym wyglądem. Pokrycie można zdjąć i wyprać w pralce, dzięki czemu łatwo utrzymać je w czystości.",https://dagra.eu/pl/product/cover-ektorp-3-new-model-sofa-bed/,649,w magazynie,https://dagra.eu/de/wp-content/uploads/sites/3/E03_A15-2.jpg,,DAGRA,2069-03-02T21:37+0100
E11,Pokrowiec na fotel Tullsta,"Pokrowiec jest starannie wykonany z dbałością o szczegóły. Dzięki temu możesz cieszyć się znakomitym wyglądem. Pokrycie można zdjąć i wyprać w pralce, dzięki czemu łatwo utrzymać je w czystości.",https://dagra.eu/pl/product/cover-ektorp-tullsta-armchair/,239,w magazynie,https://dagra.eu/de/wp-content/uploads/sites/3/E11_A23-2.jpg ,,DAGRA,2069-03-02T21:37+0100
E12,Pokrowiec na fotel Muren,"Pokrowiec jest starannie wykonany z dbałością o szczegóły. Dzięki temu możesz cieszyć się znakomitym wyglądem. Pokrycie można zdjąć i wyprać w pralce, dzięki czemu łatwo utrzymać je w czystości.",https://dagra.eu/pl/product/cover-ektorp-muren-armchair/,349,w magazynie,https://dagra.eu/de/wp-content/uploads/sites/3/E12_A01-2.jpg,,DAGRA,2069-03-02T21:37+0100
